Rule,EntropyMove,CurrentEntropy,EntropySize,DataType,DescriptionData,MessageSize,AlphabetSize,GrammaticSize,CalcTime
 -> ,0.0,1.981965762849931,19819.65762849931,,,10000,4,1,0.0039997100830078125
TA -> 良,-890.6927141900633,2.2540651221908328,20710.350342689373,dna,,9188,5,1,0.46160292625427246
CG -> 𤭤,-569.3781079753207,2.4308577165484,21279.728450664694,dna,,8754,6,2,1.1590449810028076
T良 -> 醸,-205.98766924835581,2.5232784638770465,21485.71611991305,dna,,8515,7,3,1.2502076625823975
A良 -> 𧶯,-146.69786875668797,2.591328939706485,21632.413988669738,dna,,8348,8,4,1.4819061756134033
𧶯A -> 𮨸,-44.12637558550705,2.6100590444617993,21676.540364255245,dna,,8305,9,5,1.5060844421386719
醸良 -> 𦹼,-9.31180326042886,2.618115678801844,21685.852167515674,dna,,8283,10,6,1.8859474658966064
A𧶯 -> 𮝸,-32.74906285331235,2.631919683757754,21718.601230368986,dna,,8252,11,7,2.1853811740875244
G良 -> 𫨘,-32.57089203609212,2.682349503317928,21751.172122405078,dna,,8109,12,8,2.445448398590088
𮨸C -> 鴣,-10.791345033772814,2.685336064590184,21761.96346743885,dna,,8104,13,9,2.7031757831573486
𤭤良 -> 𝢔,-2.51028340434641,2.6956246904685655,21764.473750843197,dna,,8074,14,10,2.728347063064575
𫨘C -> 뛵,-37.83583672988243,2.709034491497649,21802.30958757308,dna,,8048,15,11,3.2062578201293945
CC -> 铁,-297.501214529977,2.8497499422441077,22099.810802103057,dna,,7755,16,12,3.499734878540039
𧶯𫨘 -> 𦥜,-1.9174331465328578,2.8503647453249408,22101.72823524959,dna,,7754,17,13,3.93291974067688
𧶯铁 -> 摓,-4.795762098998239,2.8524547093353014,22106.523997348588,dna,,7750,18,14,4.155166387557983
