Rule,EntropyMove,CurrentEntropy,EntropySize,DataType,DescriptionData,MessageSize,AlphabetSize,GrammaticSize,CalcTime
 -> ,0.0,4.530381280004578,45303.81280004578,,,10000,80,1,0.0
s- -> 𩋄,-0.29528074400877813,4.531770339180733,45304.10808078979,english,,9997,81,1,33.207759857177734
do -> ꑮ,-25.11516106819181,4.542916741016033,45329.22324185798,english,,9978,82,2,32.199711561203
e? -> 鍤,-1.59048252813227,4.543531494876828,45330.81372438611,english,,9977,83,3,32.9173948764801
"g
 -> 𩰱",-4.3110512451967224,4.54487466422369,45335.12477563131,english,,9975,84,4,33.33854794502258
da -> ꩤ,-24.47379741245095,4.556921697111087,45359.59857304376,english,,9954,85,5,36.422181367874146
gp -> 쇐,-2.307535203784937,4.558527395060551,45361.906108247545,english,,9951,86,6,34.02486276626587
mu -> 𨓪,-5.9629673844829085,4.560959995539562,45367.86907563203,english,,9947,87,7,34.229827880859375
"
, -> 쵩",-3.2809309436997864,4.562207139927172,45371.15000657573,english,,9945,88,8,34.38117718696594
"I
 -> ਲ",-0.6417740405377117,4.5627304686862695,45371.791780616266,english,,9944,89,9,34.4952597618103
ln -> 唪,-22.94990570781374,4.573316712303454,45394.74168632408,english,,9926,90,10,35.01764464378357
au -> 첨,-16.73853680384491,4.5800786911878895,45411.480223127925,english,,9915,91,11,37.07723665237427
rb -> 큽,-5.94317207208951,4.582989242704341,45417.423395200014,english,,9910,92,12,37.467488527297974
;s -> 𗂁,-1.2055775353728677,4.5835734153532535,45418.62897273539,english,,9909,93,13,37.44126319885254
Tn -> 𐢒,-2.6477946367376717,4.584766000542255,45421.276767372125,english,,9907,94,14,37.74536752700806
