Rule,EntropyMove,CurrentEntropy,EntropySize,DataType,DescriptionData,MessageSize,AlphabetSize,GrammaticSize,CalcTime
 -> ,0.0,4.50903076399286,45090.3076399286,,,10000,79,1,0.0
   -> 𧃨,-282.2783809445027,4.6607689800588705,45372.5860208731,english,,9735,80,1,32.31762886047363
e  -> 컑,-144.95023581638088,4.740422438730419,45517.536256689484,english,,9602,81,2,30.348345518112183
 e -> 𡓺,-113.23768497876881,4.805262630756977,45630.77394166825,english,,9496,82,3,31.333720445632935
t  -> 쇢,-76.959461608727,4.85477784421423,45707.73340327698,english,,9415,83,4,32.72297501564026
ee -> 𡼉,-70.786123538237,4.894004653283645,45778.51952681522,english,,9354,84,5,33.67405462265015
 a -> 𩩱,-70.54502940883685,4.932128287029266,45849.06455622405,english,,9296,85,6,40.292805194854736
 h -> 㪬,-59.39113062729302,4.962539799681261,45908.45568685135,english,,9251,86,7,41.20723748207092
a  -> 鳂,-57.244432389052236,4.993557861948984,45965.7001192404,english,,9205,87,8,38.34554934501648
oe -> 㺯,-49.210477439381066,5.022365269229402,46014.91059667978,english,,9162,88,9,40.0227906703949
tt -> 𘔘,-46.91719540903432,5.044554571469589,46061.827792088814,english,,9131,89,10,46.315611839294434
en -> 𐐺,-46.28121625666972,5.067938998499174,46108.109008345484,english,,9098,90,11,48.00458526611328
h  -> 𤋯,-44.04031923325965,5.1002485719503525,46152.14932757874,english,,9049,91,12,47.01374053955078
 i -> 𦦀,-42.858686703002604,5.13163830418593,46195.008014281746,english,,9002,92,13,55.283366203308105
eo -> 舔,-41.3085603419604,5.156274849406012,46236.31657462371,english,,8967,93,14,47.72430610656738
