Rule,EntropyMove,CurrentEntropy,EntropySize,DataType,DescriptionData,MessageSize,AlphabetSize,GrammaticSize,CalcTime
 -> ,0.0,5.528132623905755,55281.32623905755,,,10000,93,1,0.004002809524536133
c. -> 𩗪,-1.3291002899277373,5.529371408216391,55282.655339347475,sources,,9998,94,1,86.4191267490387
iN -> 넪,-2.2583807409828296,5.530150417133986,55284.91372008846,sources,,9997,95,2,84.30837035179138
d8 -> 𤙤,-1.3023656716468395,5.530833942152872,55286.216085760105,sources,,9996,96,3,85.63909482955933
_r -> 𤒇,-13.832213070134458,5.53831229833052,55300.04829883024,sources,,9985,97,4,86.7652223110199
o* -> 𤤷,-5.975026101368712,5.541685703900963,55306.02332493161,sources,,9980,98,5,88.91029071807861
"
g -> 䋄",-2.71166793647717,5.543623834105251,55308.734992868085,sources,,9977,99,6,90.08425378799438
hU -> Ơ,-0.39503306162077934,5.544219128501374,55309.130025929706,sources,,9976,100,7,89.32816171646118
	u -> 𞠐,-8.015999761002604,5.547803231941701,55317.14602569071,sources,,9971,101,8,90.09800887107849
A	 -> 𩆳,-3.318205197028874,5.549249095284154,55320.46423088774,sources,,9969,102,9,93.00055527687073
y_ -> 늮,-0.5041090965823969,5.550413197550348,55320.96833998432,sources,,9967,103,10,93.26487040519714
"T
 -> 𤏵",-3.1534135433321353,5.551843628050944,55324.12175352765,sources,,9965,104,11,93.58560967445374
a  -> 🙧,-45.201075595614384,5.5725969030921165,55369.322829123266,sources,,9936,105,12,94.40589213371277
6e -> ⼵,-2.4894735834386665,5.573969428498763,55371.812302706705,sources,,9934,106,13,97.3761420249939
%d -> 𩩿,-0.11007556886033854,5.574541666996432,55371.922378275565,sources,,9933,107,14,96.52695846557617
