Rule,EntropyMove,CurrentEntropy,EntropySize,DataType,DescriptionData,MessageSize,AlphabetSize,GrammaticSize,CalcTime
 -> ,0.0,5.551878632597914,55518.78632597914,,,10000,93,1,0.0
   -> 𖼳,-157.21064956438204,5.648944498330309,55675.99697554352,sources,,9856,94,1,81.4993462562561
 e -> 𬻷,-62.34885851696163,5.67831559026696,55738.345834060485,sources,,9816,95,2,81.61810517311096
e  -> 𔕒,-54.185568534740014,5.708843896714952,55792.531402595225,sources,,9773,96,3,85.63778924942017
 t -> 𡃯,-47.392916044656886,5.734818149187623,55839.92431863988,sources,,9737,97,4,89.05428957939148
0  -> 𭶸,-45.59425205744628,5.759612343676938,55885.51857069733,sources,,9703,98,5,90.43385148048401
 0 -> 𪽬,-38.27859956998145,5.785020913444431,55923.79717026731,sources,,9667,99,6,101.43021297454834
"
  -> 䩘",-35.37817655585968,5.806700772732507,55959.17534682317,sources,,9637,100,7,112.18349385261536
 	 -> 𣴲,-33.64986943322583,5.82469834768089,55992.825216256395,sources,,9613,101,8,130.04602003097534
 i -> 𠺚,-31.82421057913598,5.845033847348517,56024.64942683553,sources,,9585,102,9,127.56299805641174
 r -> 𑖅,-29.040045526518952,5.863356639368416,56053.68947236205,sources,,9560,103,10,129.75360441207886
s  -> ꎘ,-24.68948940725386,5.8751575654027555,56078.378961769304,sources,,9545,104,11,154.54398202896118
n  -> 𪺖,-23.859963723341934,5.890617274831231,56102.238925492646,sources,,9524,105,12,153.6764166355133
 _ -> 迲,-23.096942354968633,5.909174128010909,56125.335867847614,sources,,9498,106,13,165.49546265602112
te -> 𤨝,-22.593093329225667,5.921528049058937,56147.92896117684,sources,,9482,107,14,180.40279483795166
